timestamp,episode_idx,experiment_id,policy,workload,platform,seed,total_reward,completed_jobs,avg_waiting_time,avg_bounded_slowdown,utilization,makespan,throughput,num_steps,invalid_actions,terminated,truncated
2026-05-18 14:42:12,12,eval_300000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,125,9.525027,100,5.933825,1.179388,0.866988,814.160295,0.122826,263,0,1,0
2026-05-18 14:42:52,13,eval_325000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,126,9.190887,100,4.981102,1.119998,0.866988,814.160295,0.122826,260,0,1,0
2026-05-18 14:43:02,13,eval_325000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,127,9.533992,100,5.738098,1.162767,0.866988,814.160295,0.122826,262,0,1,0
2026-05-18 14:43:44,14,eval_350000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,128,8.813359,100,4.697092,1.082844,0.866988,814.160295,0.122826,263,0,1,0
2026-05-18 14:43:54,14,eval_350000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,129,9.032979,100,5.032215,1.130408,0.866988,814.160295,0.122826,261,0,1,0
2026-05-18 14:44:35,15,eval_375000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,130,9.594802,100,5.604741,1.133804,0.866988,814.160295,0.122826,263,0,1,0
2026-05-18 14:44:45,15,eval_375000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,131,9.638239,100,5.604741,1.133804,0.866988,814.160295,0.122826,263,0,1,0
2026-05-18 14:45:26,16,eval_400000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,132,8.758724,100,4.829181,1.116848,0.866988,814.160295,0.122826,262,0,1,0
2026-05-18 14:45:36,16,eval_400000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,133,8.858948,100,4.656716,1.082097,0.866988,814.160295,0.122826,264,0,1,0
2026-05-18 14:46:16,17,eval_425000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,134,9.042850,100,4.908389,1.123030,0.866988,814.160295,0.122826,261,0,1,0
2026-05-18 14:46:26,17,eval_425000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,135,9.082076,100,5.817714,1.169501,0.866988,814.160295,0.122826,261,0,1,0
2026-05-18 14:47:07,18,eval_450000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,136,8.750574,100,4.887373,1.120304,0.866988,814.160295,0.122826,263,0,1,0
2026-05-18 14:47:17,18,eval_450000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,137,8.846768,100,5.714281,1.164757,0.866988,814.160295,0.122826,264,0,1,0
2026-05-18 14:47:57,19,eval_475000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,138,9.166188,100,6.083792,1.177428,0.866988,814.160295,0.122826,264,0,1,0
2026-05-18 14:48:07,19,eval_475000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,139,9.133354,100,5.792401,1.169501,0.866988,814.160295,0.122826,261,0,1,0
2026-05-18 14:48:46,20,eval_500000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,140,8.881636,100,5.189886,1.132094,0.866988,814.160295,0.122826,262,0,1,0
2026-05-18 14:48:56,20,eval_500000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,141,9.027642,100,5.117572,1.130994,0.866988,814.160295,0.122826,263,0,1,0
2026-05-18 14:49:36,21,eval_525000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,142,8.352583,100,4.967615,1.121553,0.866988,814.160295,0.122826,261,0,1,0
2026-05-18 14:49:46,21,eval_525000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,143,8.989785,100,4.974486,1.125356,0.866988,814.160295,0.122826,263,0,1,0
2026-05-18 14:50:26,22,eval_550000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,144,9.648178,100,4.713670,1.123892,0.866988,814.160295,0.122826,263,0,1,0
2026-05-18 14:50:35,22,eval_550000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,145,8.992181,100,4.895394,1.129717,0.866988,814.160295,0.122826,262,0,1,0
2026-05-18 14:51:16,23,eval_575000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,146,9.060433,100,4.759976,1.116257,0.866988,814.160295,0.122826,262,0,1,0
2026-05-18 14:51:25,23,eval_575000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,147,8.779734,100,5.968807,1.171725,0.866988,814.160295,0.122826,264,0,1,0
2026-05-18 14:52:05,24,eval_600000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,148,8.711701,100,4.680592,1.117851,0.866988,814.160295,0.122826,261,0,1,0
2026-05-18 14:52:15,24,eval_600000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,149,9.036034,100,5.833477,1.171123,0.866988,814.160295,0.122826,264,0,1,0
2026-05-18 14:52:56,25,eval_625000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,150,8.861701,100,4.680592,1.117851,0.866988,814.160295,0.122826,261,0,1,0
2026-05-18 14:53:06,25,eval_625000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,151,8.572330,100,4.686692,1.117851,0.866988,814.160295,0.122826,261,0,1,0
2026-05-18 14:53:46,26,eval_650000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,152,9.065500,100,4.519573,1.115508,0.866988,814.160295,0.122826,260,0,1,0
2026-05-18 14:53:56,26,eval_650000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,153,8.585047,100,4.471004,1.111998,0.866988,814.160295,0.122826,256,0,1,0
2026-05-18 14:54:36,27,eval_675000,<class 'sb3_contrib.common.maskable.policies.MaskableMultiInputActorCriticPolicy'>,medium_workload.json,medium_platform.xml,154,9.101796,100,4.696578,1.118079,0.866988,814.160295,0.122826,262,0,1,0
